Soma k1,Desvio Padrão k1,Soma k2,Desvio Padrão k2,Soma k3,Desvio Padrão k3,Soma k4,Desvio Padrão k4
30261.0,7.7947468037374374,1326.0,1.3497864414417564,31862.0,8.795812124954693,1360.0,1.332760293526184
30147.0,7.960566655984672,1466.0,1.5241344879963843,31813.0,8.697598245169468,1602.0,1.5194566257382935
30124.0,7.9322281705709905,1436.0,1.452409635743305,31679.0,8.970667456180449,1334.0,1.268802954559927
30042.0,7.965625269713608,1218.0,1.2244380088432405,31726.0,8.700397889608269,1313.0,1.2780647907578864
27756.0,8.415936890804256,1415.0,1.4793599492263538,29190.0,9.20716220871013,1591.0,1.454507944074215
27290.0,7.904070845931228,1416.0,1.5163360445494924,28734.0,9.334120121227281,1257.0,1.3189648817823012
27629.0,7.909882046173318,1263.0,1.282580254555246,29076.0,9.137983571335637,1254.0,1.193518302121924
27627.0,8.174466510688939,1503.0,1.4838967650665593,29106.0,9.469473239705575,1619.0,1.5646034591470772
26157.0,10.209893926205844,746.0,1.2801800410489144,27740.0,8.936783188038076,243.0,0.4744038199414082
26157.0,10.209893926205844,746.0,1.2801800410489144,27740.0,8.936783188038076,243.0,0.4744038199414082
26660.0,8.837411597860541,173.0,0.3466756183740068,28150.0,8.133877361842874,0.0,0.0
26660.0,8.837411597860541,173.0,0.3466756183740068,28150.0,8.133877361842874,0.0,0.0
26608.0,9.44679046025686,73.0,0.2086704564019545,28125.0,8.551104986162606,65.0,0.20970123837259522
19485.0,9.050629618119117,794.0,1.011798368006195,20564.0,7.99910893475017,670.0,1.145490479008883
17752.0,8.779861900964047,757.0,0.9607433238774027,18705.0,7.765623742454626,653.0,1.1204057231088207
33352.0,9.462411162066463,927.0,1.1434376281087657,35251.0,8.697390929719958,682.0,1.0756676705655888
19485.0,9.050629618119117,794.0,1.011798368006195,20564.0,7.99910893475017,670.0,1.145490479008883
33352.0,9.462411162066463,927.0,1.1434376281087657,35251.0,8.697390929719958,682.0,1.0756676705655888
23350.0,9.611189361234123,881.0,1.1341018954992534,24687.0,8.58275958590097,689.0,1.1587437634675752
21328.0,9.266328830772196,808.0,1.028943633052851,22505.0,8.267485612891926,673.0,1.1379585270891905
31008.0,9.667631561039137,1108.0,1.4938854541095177,32829.0,8.560938703458575,746.0,1.183790917983408
22331.0,9.443914190333107,859.0,1.0925384361087713,23631.0,8.426146041303522,680.0,1.14646194877981
29305.0,9.994298667709256,1071.0,1.4071467973793637,31017.0,8.899194815227668,742.0,1.204132857080148
26293.0,11.521036313386698,1178.0,1.3911994599984576,27739.0,10.563599776325066,883.0,1.3646644218909645
